Document	psif	fatcat_sentence	prediction	ground_truth	fatcat_sentence_index
Lack of design feature to allow movement of wash fixture.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05809574946761131	0	4765
pliers employee was using pliers to loosen a bolt in a box.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.08659324795007706	0	1180
He is up to date with his tetanus shot.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059684768319129944	0	4765
The AO with the direction of TSO isolated the equipment.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05734388157725334	0	4765
Keep rest cabins clean.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05889103189110756	0	4765
The employee followed up with the nurse and was returned to work without restrictions.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05797750875353813	0	4765
Air conditioning unit leaked onto some electricl equipment.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.08992306143045425	0	1180
The three EE were approximately meters away from the Bolt that being removed.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05706089735031128	0	4765
ergonomic assessment Ergo assessment completed by Jon Lee and sent to EHS Specialist.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059133075177669525	0	4765
We discussed this and talked about rushing especially when it is wet outside.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057370033115148544	0	4765
points contact FTE was standing on tire of truck to clear snow from windshield.	nonsif	Decedent was driving a log truck uphill to pick up a load of logs. The truck left the road and went 200 feet down a hill. Decedent was thrown for the truck.	0.36377212405204773	0	1022
I had to hit brakes hard and swervee to keep from hitting of them.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.07735419273376465	0	1180
AC System not function proper in Gantry Room Room temp.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.060117121785879135	0	4765
Garbage on bothe the rear and passenger floorboards and clothing thrown across the backseat.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.1472591906785965	0	1180
Root Cause Inadequate job planning.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058105502277612686	0	4765
Even though the event happened at approximately ComEd was not notified until approximately.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05755597725510597	0	4765
Operatives in the work area not wearing safety glasses.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06087615713477135	0	4765
He pulled on it and it released and hit him in the forehead.	nonsif	Worker unloading crates of granite slabs was hit after the wire rope holding the crates broke.	0.37914732098579407	0	861
The Door to the clean room does not seem to clsoe properly.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0574386827647686	0	4765
Putting doors on by hand to help a line stoppage.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057958345860242844	0	4765
Not wearing proper PPE safety glasses on shop floor nonspecific site activity.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06071250140666962	0	4765
Nexants data security controls were previously evaluated in an Exelon IT Security review dated.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058109842240810394	0	4765
Maintenance removed snow and ice with snow rake and power lift.	nonsif	Firefighter slipped on ice and hit head	0.637614905834198	0	755
Improper Range Finder Usage.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05641911178827286	0	4765
Good Use of STAR by Station DSD.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05704794079065323	0	4765
S EE enters medical with c o pain to R Elbow.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057140741497278214	0	4765
This was a good question brought up by employee.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05669784173369408	0	4765
While exiting the office for the day the parking garage stairwell was very wet.	nonsif	The worker was operating a pallet jack when entering an intersection drove into the stairwell.	0.37540969252586365	0	1216
During a lifting task the injured felt pain in his back.	nonsif	Machine guarding was removed from the Houle Alley Scraper for maintenance and not reinstalled after servicing. Worker was caught in moving machinery and suffered mild injuries.	0.05344514921307564	0	4260
Wheel chocks were also utilized.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056364741176366806	0	4765
Footing would hampered some by snow but crews all had proper foot wear.	nonsif	A skidder operator transporting logs was injure when the skidders wheel rolled over a log causing the log to flip up and hit the workers head.	0.08139706403017044	0	1065
I observed worker cutting plywood for the hole.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06058187410235405	0	4765
sending degree water raining down on the area below.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06308671087026596	0	4765
Associate entered room where an epoxy resin spill recently occurred.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059166859835386276	0	4765
EE reported the injury weeks later on.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05626814439892769	0	4765
The cable was successfully installed.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05960879102349281	0	4765
Fleet is investigating this issue in conjunction with the safety features on this vehicle.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05641116946935654	0	4765
he was operating the preform machines in compression department and developed a rash.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06242537871003151	0	4765
My fingers are hurting so bad.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05659666284918785	0	4765
This is a P meter that can not be disconnected remotely.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06263581663370132	0	4765
Half way into shift noticed a sore pain in right shoulder.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05621770769357681	0	4765
Paper Cutter leave open up and unattended at the Store Room.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058686669915914536	0	4765
That gives them splinters in their feet.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05840083956718445	0	4765
Press Relief Device Not Installed on TR at TDC.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06003783270716667	0	4765
Need to scrap and dump all.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05812625214457512	0	4765
Communicate RCA to teams.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05741399899125099	0	4765
While crew was working in the field a strong storm approached in the distance.	nonsif	Worker prepping cars for paint injured from heat stroke.	0.06816067546606064	0	6190
Now rolls the amp wires from front to back.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05776488780975342	0	4765
Lumbar back hit the riser sticking up because locker was not straight.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06065696105360985	0	4765
states she was lifting and flipping the lift gaits to put into the racks.	nonsif	Machine guarding was removed from the Houle Alley Scraper for maintenance and not reinstalled after servicing. Worker was caught in moving machinery and suffered mild injuries.	0.07097406685352325	0	4260
The east gate is being left open and bypassed to keep it open.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.08137471228837967	0	4765
Duplicate Meter Number.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05687963590025902	0	4765
Told guy in skid to speak with customer.	nonsif	The worker was operating a skidder during a logging operation when the skidder turned over. There were no witnesses. The worker was hit under the skidder. Emergency services arrived and was pronounced injured .	0.4313647747039795	0	2503
Good Catch Line of Fire.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05489157885313034	0	4765
Correct Plaque Placement During a walk down at TSS West.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0726538673043251	0	4765
WCV was called they researched for clinics open on Saturday.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0592198483645916	0	4765
The operator banged the head against a cone of candle Twintex.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057915475219488144	0	4765
Roadway lighting circuit from loading rack to front parking lot not working.	nonsif	Two workers were doing road surveying each on either side of the road. A civilian driver came over the hill and suddenly applied his brakes even though no person equipment or car was in the road. This caused his car to spin off the road running over one of the workers.	0.9500010013580322	0	3814
I had a company come in to weld stainless steel.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059924446046352386	0	4765
Magnet Quench occured after ramp up process.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05831068381667137	0	4765
Area Operator Found Insulator Broken Off Structure.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05990210920572281	0	4765
However then the reader elected to back all the way down a long driveway.	nonsif	Worker was on DNR property scouting for well sites for a municipal water system. Worker was riding an ATV and it appears that the vehicle slipped on the steep terrain throwing the worker off and then landing on top of him.	0.568070113658905	0	3450
The injury prevention specialist referred the employee to OHS.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05690491199493408	0	4765
States he was carrying bag in one hand and other hand in his pocket.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05865998566150665	0	4765
When the operator was loading goods onto container using electric forklift.	nonsif	Worker was engaged in work activities including rough terrain forklift operations and construction work and was walking up an incline away from the Lull carrying a screw gun box and was hit by the right rear tire of the Lull.	0.9550037384033203	0	2608
Securing fuel hose.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0601622611284256	0	4765
Results shutdown of the equipements.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05834381654858589	0	4765
The site was not recognized by the PM.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058712247759103775	0	4765
Was oil on floor in front of cart.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05782969668507576	0	4765
This should have been changed to R when the WO was created.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05646927282214165	0	4765
damaged insulator At TSS.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05779856815934181	0	4765
The LC gantry was placed on DOLLY to performs tests at Buc.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05758281052112579	0	4765
OE s DVIR book was up to date and truck was neat.	nonsif	Decedent was unloading logs from truck in sawmill yard. While releasing straps one of the logs rolled onto the employee.	0.060208141803741455	0	1176
Employee returned to work no restrictions.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.061183396726846695	0	4765
All issues resolved no follow up required.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.060059454292058945	0	4765
Lines need to be painted in the MOD area.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05682869255542755	0	4765
Employee was unboxing an item.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06073710322380066	0	4765
tripped over own feet and fell forward towards belt table.	nonsif	Worker was walking down steps from a utility room when he slipped or tripped.	0.842136561870575	0	2293
Job title Security Guard x yrs.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06721607595682144	0	4765
We then exited the space and secured the door to let the steam dissipate.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059508975595235825	0	4765
operator called robo in on fh to unload doffs onto carrier.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06100432574748993	0	4765
The Inspector took their names and left the jobsite without providing any other information.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.060358256101608276	0	4765
The transformer was then tested for proper voltage upon completion of the transformer restoration.	nonsif	Worker was contracted to remove and install a new breaker that controlled a chipper. The disconnect was placed in the off position and the worker began disconnecting the I/O cable from the lugs inside the box when an arc flash occurred.	0.09886623173952103	0	4028
On Gradall Crew discovered leaking United Rentals Gradall during preFlight Inspection of equipment.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.067983478307724	0	4765
Injured employee than used a pry bar to the charger.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057232122868299484	0	4765
repetitive use grabbing bending of the elbow arm on hinge.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056995198130607605	0	4765
In the meantime the reader was instructed to walk back to the company vehicle.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056681033223867416	0	4765
EE was cleaning primary screens screens backed up.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05749070271849632	0	4765
Worker walked into a hanging air gun with a driver bit in it.	nonsif	Worker was issued a firearm went outside and committed suicide.	0.9966866374015808	0	2617
Good work all members took them and put them in with a good attitude.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05831204354763031	0	4765
Original job tha ee hurt her wrist on was sliding door glass and install.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06947842240333557	0	4765
OSHA inspector visit.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05818496644496918	0	4765
Pulling a cabinet up steps on a dolly.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06260842829942703	0	4765
The mechanic lifted the belt guard high enough to replace the belts.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.062472324818372726	0	4765
I m worried whether these labs and bays would impact my fetus.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05605672299861908	0	4765
The interior was in clean condition.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056725434958934784	0	4765
After manually operating auto doff clearing the alarm the operator hit the go button.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06362266093492508	0	4765
Currently it has an orange cone on it.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05942758917808533	0	4765
The fixture tipped due to it being located on top of the unstable boxes.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05652140453457832	0	4765
EE lifted the shoring scaffold and placed on the shoulder for transport.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.06421839445829391	0	1180
The B mechanic was commended on his utilization of the Smith keys.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0572928823530674	0	4765
Need to review JSA with all employees who charge trucks.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05751985311508179	0	4765
Interview with witness To ni Hall confirmed statement Assigned to investigative team.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058250635862350464	0	4765
Rear seat cushion secure been over a year on this job.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05696327984333038	0	4765
The doctor said something had been in his eye but was no longer there.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05889423191547394	0	4765
Manually loading plastic bins onto van.	nonsif	Decedent was driving a log truck uphill to pick up a load of logs. The truck left the road and went 200 feet down a hill. Decedent was thrown for the truck.	0.1041175052523613	0	1022
Work related lost work day case.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05820968374609947	0	4765
This incident was enter incorrecty it sbould be a minor injury no treatment.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05951926112174988	0	4765
I felt a pop in my lower back.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05666481330990791	0	4765
Damage occurred while recovering unit from site of sinking.	nonsif	Employee injured while conducting dive operations at 130 feet.	0.8917149901390076	0	3734
Customer Switchyard Material Issues.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05801169201731682	0	4765
Metal Grating Employee working on North bag house fan.	nonsif	Worker contracted H1N1 flu.	0.20456622540950775	0	2682
First aid disinfection provided by Julie CURRAULT.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05777045339345932	0	4765
Generator winders were brazing connections on a medium steam generator field.	nonsif	Worker was performing welding repairs on the log selector gate and was hit by the gate. The equipment was not properly locked and tagged out for maintenance.	0.07961249351501465	0	302
Employee was in process of changing out the rotor on chain mill.	nonsif	Machine guarding was removed from the Houle Alley Scraper for maintenance and not reinstalled after servicing. Worker was caught in moving machinery and suffered mild injuries.	0.0850120261311531	0	4260
The persons from the logistic company were uninjured.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0702049508690834	0	4765
After removing the lock the TTSS became stuck in the down position.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05927471071481705	0	4765
Upon inspection the crew found a hole burnt in one of the sleeves.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05731061473488808	0	4765
EE was transported to the emergency room to be evaluated by a physician.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05711354687809944	0	4765
After this initial instruction all new employees were given identical training.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056706126779317856	0	4765
At that point the HH mechanic was resting against the tire of the Gradall.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05798446387052536	0	4765
A wind came up and the gate swung and struck the mower.	nonsif	A skidder operator transporting logs was injure when the skidders wheel rolled over a log causing the log to flip up and hit the workers head.	0.7124213576316833	0	1065
This table is how SCADA and OMS associate the common points between them.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057899340987205505	0	4765
Bathroom cleanliness is much to be desired.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05929245054721832	0	4765
create work order no to close it.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06341143697500229	0	4765
Employee was repairing a peripheral tower.	nonsif	Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.	0.5620989203453064	0	1
Employee had only been hand doffing for min.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05793897807598114	0	4765
Previously he had worked on a desktop.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057208914309740067	0	4765
Portable ladder had a rag wrapped around one of the feet.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05921683460474014	0	4765
This condition can result in damaging the cable.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057562973350286484	0	4765
Fire alarm activation Electronics drift from smoke detector causing transient excursion into fire range.	nonsif	Workers were using grinder and oxyacetylene torch to remove equipment from a conveyor system located above silos used to store charcoal briquettes. A flash fire was ignited after sparks contacted a residual pile of charcoal dust resulting in 1 mild and 3 hospitalizations.	0.08467649668455124	0	390
Was wearing safety glasses at the time.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05675848573446274	0	4765
The lighting in the plant manager office is inadequate.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05733514577150345	0	4765
The guard could nt dislodge the particle he was sent to the hospital.	nonsif	Worker installing heavy overhead door was hit when the door fell.	0.1132185310125351	0	1180
AMI Equipment Failure.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058994047343730927	0	4765
Follow SOP before performing the operation use proper PPEs.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05715259909629822	0	4765
Employee had Facial protection goggles gowning and gloves.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05771997570991516	0	4765
Testing laboratory operations.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.060894083231687546	0	4765
Began to experience intense itching within short time.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05666789039969444	0	4765
Its was a freak accident.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0730832889676094	0	4765
Constant slow computer network at Mount Prospect office.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06602291017770767	0	4765
This was a USIC locate and all marks on the ground were accurate.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057866521179676056	0	4765
good catch by crew during wiring.	nonsif	Worker was contracted to remove and install a new breaker that controlled a chipper. The disconnect was placed in the off position and the worker began disconnecting the I/O cable from the lugs inside the box when an arc flash occurred.	0.7181161046028137	0	4028
lifting more than stopped and got help stopped and got help.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06090247258543968	0	4765
Work area housekeeping was acceptable.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05589187890291214	0	4765
Conducted safety talk in Engineering on Utility knife safety.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.0637475922703743	0	4765
The fluid was determined to be residual acid in the hose.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.067489854991436	0	4765
RP therefore issued incorrect settings on including the improper breaker failure timer setting.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05747682601213455	0	4765
Rules to dig by followed.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05535358935594559	0	4765
He then was placing the machines back on the line.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05636707693338394	0	4765
cleaning new componants cleaning operations.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05611782521009445	0	4765
FLS instructed the crew to set the job up foe the next shift.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.056824199855327606	0	4765
Right index finger hit support on rack jamming finger.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05881517007946968	0	4765
Rph compounded MAG kit.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05779923126101494	0	4765
This customer has experienced outages in the past due to wildlife contact.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06946060061454773	0	4765
For example a ER request received s Hamlin CN dates.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05738594010472298	0	4765
Inspecting S buckets and adding data to PC on shop floor inspecting.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05952135846018791	0	4765
Employee was wearing a bump cap and all required PPE.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05675704777240753	0	4765
When a few slide off of the end of the forks.	nonsif	Worker was unloading a skid lost control fell and hit his head on the ground.	0.18901586532592773	0	193
Employee reported discomfort in shoulders due to overhead work.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05755927413702011	0	4765
Associate was welding Mag Saddles.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05840720981359482	0	4765
EE Driving the perimeter road in the old area.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05788927525281906	0	4765
Access is now limited to a two person activity operation.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.07501813769340515	0	4765
The employee stated I had finished installing a limit switch.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.063054658472538	0	4765
Preliminary diagnose of CTS was given in October of.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05693317949771881	0	4765
Employee was loading product code in Able van at spot.	nonsif	Decedent was driving a log truck uphill to pick up a load of logs. The truck left the road and went 200 feet down a hill. Decedent was thrown for the truck.	0.060126304626464844	0	1022
In addition she was advised to take Tylenol for the pain.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057903602719306946	0	4765
EWR raised to have emergency lighting installed into maintenance corridor of M range.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05685144290328026	0	4765
He gingerly released his grip on the hot stick and boomed down.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05885501205921173	0	4765
Job involves bending and twisting to secure the rear seat cushion.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06055815890431404	0	4765
No prescriptions drugs were prescribed.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06890609115362167	0	4765
The brief also noted that there were landscape contractors in the area as well.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057479579001665115	0	4765
No actions to be taken.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06471116095781326	0	4765
O vehicle operations.	nonsif	A worker servicing a vehicle was run over when a coworker moved the vehicle.	0.41290950775146484	0	539
Valve wrench slipped off valve operator and pinched thumb between valve wrench and piping.	nonsif	Worker was working on a pump in a magnesium recycling area. He was in the process of turning a shaft with a pipe wrench to free up a vertical propeller when the hose connected to the pump either split or broke open. The force of the steam blew him against a metal cage.	0.8202552795410156	0	3581
Result of doing wire harness same job.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.05817222595214844	0	4765
CREW HAD TRUCK ON POLE AND WAS DIGGING NEW HOLE.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.058571621775627136	0	4765
Luckily there was no chemical exposure.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.06893787533044815	0	4765
Employee felt something in his left eye.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.057926151901483536	0	4765
On the rd floor there re several x ray lab.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059093546122312546	0	4765
There is points of locking the container to trailer only points are secured.	nonsif	The gate of the entrance came loose and fell over the worker a security guard that was opening it.	0.059076447039842606	0	4765
